day,doppler_rms_mm_s,n_60s_samples,tropo_rate_rms,elongation_deg,solar_model_mm_s,decimal_year,doppler_smooth_mm_s,solar_smooth_mm_s,tropo_smooth
2012-05-25,0.06008058403603461,465,0.0002005863371637666,18.2338,0.0726132551287908,2012.3969883641341,0.038217042973909064,0.0726132551287908,0.0002005863371637666
2012-05-26,0.03483627688481193,547,0.00018914573777150865,16.8734,0.07961027496437442,2012.3997262149212,0.03483627688481193,0.07961027496437442,0.0002005863371637666
2012-05-27,0.043973824430831636,316,0.0002284735504568517,15.4771,0.08824618795141217,2012.4024640657085,0.03483627688481193,0.08824618795141217,0.000193181731155793
2012-05-29,0.038217042973909064,478,0.00020215201341631286,12.5844,0.11312783269178661,2012.4079397672826,0.03483627688481193,0.11312783269178661,0.0002005863371637666
2012-05-30,0.02806136689703661,565,0.000193181731155793,11.0928,0.13174441168290596,2012.4106776180697,0.03483627688481193,0.13174441168290596,0.00020215201341631286
2012-05-31,0.031668743899466244,565,0.0001925898678561516,9.5746,0.15746553623871917,2012.413415468857,0.036674549015158264,0.15746553623871917,0.0002091422556174624
2012-06-01,0.022382421854837947,446,0.0002091422556174624,8.033,0.19491654955177268,2012.416153319644,0.036674549015158264,0.19491654955177268,0.00020215201341631286
2012-06-02,0.036674549015158264,320,0.00022924745975301007,6.4714,0.25365223319374425,2012.4188911704312,0.036674549015158264,0.25365223319374425,0.00019713170557087548
2012-06-03,0.06848161842786639,425,0.00021446925794029294,4.8936,0.3568058849798189,2012.4216290212185,0.036674549015158264,0.3568058849798189,0.0001990482178044791
2012-06-07,0.05399168207658245,450,8.225422283081333e-05,1.5043,1.5114936353206365,2012.432580424367,0.04307775220300451,0.3568058849798189,0.0002091422556174624
2012-06-08,0.04307775220300451,566,0.00019713170557087548,3.101,0.623375892367115,2012.435318275154,0.052266524719968135,0.3568058849798189,0.00020615573717469086
2012-06-09,0.03521512745427528,566,0.0001990482178044791,4.69,0.3758265196090564,2012.438056125941,0.052266524719968135,0.3568058849798189,0.00020328840737983007
2012-06-10,0.052266524719968135,334,0.00023519719917676864,6.2667,0.2637961151068674,2012.4407939767282,0.04307775220300451,0.2637961151068674,0.0002008720454229957
2012-06-11,0.09526897986352183,522,0.00020615573717469086,7.8269,0.20118152296552597,2012.4435318275155,0.04307775220300451,0.20118152296552597,0.0002032052571510253
2012-06-12,0.036992337203870795,528,0.00020328840737983007,9.3671,0.16170953525222267,2012.4462696783025,0.036992337203870795,0.16170953525222267,0.00020328840737983007
2012-06-13,0.03366208754239812,566,0.0002008720454229957,10.8839,0.13481005328528253,2012.4490075290896,0.04606662237139555,0.13481005328528253,0.00020328840737983007
2012-06-14,0.05639901623916826,527,0.0002032052571510253,12.374,0.11545084695503838,2012.4517453798767,0.04606662237139555,0.11545084695503838,0.00020328840737983007
2012-06-15,0.03270542795238369,344,0.00023527752295615466,13.8348,0.10094108291459768,2012.454483230664,0.04606662237139555,0.10094108291459768,0.00020328840737983007
2012-06-16,0.04606662237139555,566,0.00020101886339843843,15.2637,0.08972312157842843,2012.457221081451,0.05639901623916826,0.08972312157842843,0.0002032052571510253
2012-06-17,0.07560108429659973,469,0.00021175567531223503,16.6587,0.0808325690435917,2012.4599589322381,0.060307439641456594,0.0808325690435917,0.0002032052571510253
2012-06-18,0.060307439641456594,566,0.00020336838435604132,18.0178,0.0736449343634996,2012.4626967830254,0.060307439641456594,0.0736449343634996,0.00020330588914261048
2012-06-19,0.06216001723908128,566,0.00019974222848923332,19.3396,0.0677364839158914,2012.4654346338125,0.060307439641456594,0.0677364839158914,0.00020330588914261048
2012-06-20,0.06905891058014525,566,0.00020091397192801872,20.6229,0.06281146816811228,2012.4681724845996,0.060307439641456594,0.06281146816811228,0.00020336838435604132
2012-06-21,0.05653272869377838,566,0.00020330588914261048,21.8668,0.058657194423381104,2012.4709103353866,0.05653272869377838,0.058657194423381104,0.00020336838435604132
2012-06-22,0.04430967770718656,567,0.00020411482921579545,23.0706,0.05511723113653601,2012.473648186174,0.04430967770718656,0.05511723113653601,0.00020330588914261048
2012-06-23,0.0381947599058713,566,0.00020509919104777798,24.2339,0.052073826350611724,2012.476386036961,0.0381947599058713,0.052073826350611724,0.00020330588914261048
2012-06-24,0.02171538184076958,347,0.00023595145203950986,25.3565,0.04943692165569285,2012.479123887748,0.038148698614324676,0.04943692165569285,0.00020411482921579545
2012-06-25,0.031203039784080067,548,0.00014342854920080294,26.4385,0.047136296813188344,2012.4818617385351,0.038148698614324676,0.047136296813188344,0.00020411482921579545
2012-06-26,0.038148698614324676,566,0.00020222081905502305,27.4801,0.04511676270433681,2012.4845995893224,0.038148698614324676,0.04511676270433681,0.00020509919104777798
2012-06-27,0.031047045180551344,566,0.00020527055244158498,28.4817,0.04333419218004725,2012.4873374401095,0.038148698614324676,0.04333419218004725,0.00020256369046286167
2012-06-28,0.06549747766570091,566,0.00020233183276928922,29.4436,0.04175334875163963,2012.4900752908966,0.038148698614324676,0.04175334875163963,0.00020256369046286167
2012-06-29,0.053813000537708024,345,0.0002380698898716344,30.3666,0.04034491076290552,2012.4928131416839,0.038148698614324676,0.04034491076290552,0.00020256369046286167
2012-07-01,0.039492971145004475,566,0.00020256369046286167,32.0984,0.03795451015039385,2012.498288843258,0.039492971145004475,0.03795451015039385,0.00020299136979890184
2012-07-02,0.019768530041756778,566,0.00020299136979890184,32.9089,0.036936120689431653,2012.501026694045,0.04333497037593604,0.036936120689431653,0.00020276780806147626
2012-07-03,0.019873424420270795,565,0.00020159852649774014,33.6835,0.03601635230349379,2012.5037645448324,0.039492971145004475,0.03601635230349379,0.00020276780806147626
2012-07-04,0.05016698326793089,565,0.00020303082082336274,34.4234,0.03518310947101677,2012.5065023956195,0.039492971145004475,0.03518310947101677,0.00020256369046286167
2012-07-05,0.04333497037593604,565,0.00020276780806147626,35.1294,0.03442654993356836,2012.5092402464065,0.04333497037593604,0.03442654993356836,0.00020159852649774014
2012-07-06,0.03483866167279102,565,0.00020037689417745706,35.8027,0.03373785603738472,2012.5119780971936,0.04333497037593604,0.03373785603738472,0.00020159852649774014
2012-07-07,0.07459229859299195,565,0.00020062496233261032,36.4441,0.03310983750146932,2012.514715947981,0.04333497037593604,0.03310983750146932,0.00020086357089550136
2012-07-08,0.05903123669583153,565,0.00020086357089550136,37.0549,0.03253581353683706,2012.517453798768,0.04141213273450554,0.03253581353683706,0.00020086357089550136
2012-07-09,0.04141213273450554,565,0.00020324123393843912,37.6361,0.03201024973880479,2012.520191649555,0.040718611480941455,0.03201024973880479,0.00020062496233261032
2012-07-10,0.03214677464822376,565,0.00019977135442159364,38.1887,0.031528311217335715,2012.5229295003423,0.040718611480941455,0.031528311217335715,0.00020086357089550136
2012-07-11,0.040718611480941455,503,0.00020655055024431396,38.7137,0.03108575392810762,2012.5256673511294,0.040718611480941455,0.03108575392810762,0.00020086357089550136
2012-07-12,0.030853239124304394,564,0.00020048094350707266,39.2122,0.03067875492629492,2012.5284052019165,0.040718611480941455,0.03067875492629492,0.00020048094350707266
2012-07-13,0.018726983481885156,341,0.0002370149161219234,39.6853,0.030303928048254557,2012.5311430527036,0.04053272567117371,0.030303928048254557,0.00020048094350707266
2012-07-14,0.16481022969154374,235,8.779600284203695e-05,40.1338,0.029958488313574106,2012.5338809034909,0.040718611480941455,0.029958488313574106,0.00020048094350707266
2012-07-15,0.052665573723442584,564,0.00019926118160138823,40.5587,0.029639799687885764,2012.536618754278,0.04053272567117371,0.029639799687885764,0.00019926118160138823
2012-07-16,0.04053272567117371,442,0.00021442914981532855,40.961,0.029345497565972087,2012.539356605065,0.04053272567117371,0.029345497565972087,0.00019819771904435002
2012-07-17,0.046777380440617605,564,0.0001968347162305115,41.3414,0.029073664080576773,2012.542094455852,0.045959785710061735,0.029073664080576773,0.00019819771904435002
2012-07-18,0.03593209515345635,563,0.0001978504545877856,41.7009,0.028822359643421874,2012.5448323066394,0.04053272567117371,0.028822359643421874,0.00019819771904435002
2012-07-19,0.034491575246634563,563,0.00019819771904435002,42.0403,0.028589959505716488,2012.5475701574264,0.036364776749636146,0.028589959505716488,0.0001978504545877856
2012-07-20,0.045959785710061735,563,0.00019853980153728998,42.3604,0.028374985013455856,2012.5503080082135,0.03593209515345635,0.028374985013455856,0.0001968347162305115
2012-07-21,0.024068703024162964,563,0.00019567370189389475,42.662,0.02817608576626941,2012.5530458590006,0.03593209515345635,0.02817608576626941,0.0001978504545877856
2012-07-22,0.036364776749636146,563,0.00019647255195748436,42.9456,0.027992217054956494,2012.5557837097879,0.034491575246634563,0.027992217054956494,0.00019660971191289069
2012-07-23,0.03288048906039888,563,0.00019660971191289069,43.2122,0.027822105106560618,2012.558521560575,0.03288048906039888,0.027822105106560618,0.00019647255195748436
2012-07-24,1.0641119308462597,458,0.0003292281327115369,43.4622,0.027664946851173277,2012.561259411362,0.03288048906039888,0.027664946851173277,0.00019584835676573955
2012-07-25,0.032294106579017205,562,0.00019383201405527367,43.6963,0.027519818795095272,2012.5639972621493,0.03452821172596963,0.027519818795095272,0.00019584835676573955
2012-07-26,0.03239838870750755,562,0.0001942969727690326,43.9151,0.027385925348285375,2012.5667351129364,0.03452821172596963,0.027385925348285375,0.0001942969727690326
2012-07-27,0.03452821172596963,562,0.00019584835676573955,44.1192,0.027262527603709757,2012.5694729637235,0.04746634757491576,0.027262527603709757,0.00019383201405527367
2012-07-28,0.054163574590471386,562,0.00019259835841422055,44.309,0.027149056114459492,2012.5722108145105,0.03452821172596963,0.027149056114459492,0.0001932124162426958
2012-07-29,0.05451871581392322,562,0.0001932124162426958,44.4851,0.027044864015887928,2012.5749486652978,0.03452821172596963,0.027044864015887928,0.00019301043162460208
2012-07-30,0.04746634757491576,562,0.00019301043162460208,44.648,0.026949403543390843,2012.577686516085,0.04746634757491576,0.026949403543390843,0.00019259835841422055
2012-07-31,0.033370091966468146,562,0.00019166964091949933,44.7981,0.026862219116456275,2012.580424366872,0.04746634757491576,0.026862219116456275,0.00019251932726332963
2012-08-01,0.024974587354439456,410,8.658401213147745e-05,44.936,0.026782769376277885,2012.583162217659,0.04534651047027655,0.026782769376277885,0.00019166964091949933
2012-08-02,0.07503113251170124,561,0.00019251932726332963,45.062,0.026710713380058492,2012.5859000684463,0.033370091966468146,0.026710713380058492,0.00019099027950979127
2012-08-03,0.04534651047027655,561,0.00018982490063171325,45.1765,0.02664567531025206,2012.5886379192334,0.030777320598589328,0.02664567531025206,0.00019099027950979127
2012-08-04,0.02907579395729603,561,0.00019099027950979127,45.2801,0.026587187939601884,2012.5913757700205,0.030777320598589328,0.026587187939601884,0.00018998361685832667
2012-08-05,0.02438092850013503,561,0.00018998361685832667,45.373,0.026535029462972624,2012.5941136208078,0.04534651047027655,0.026535029462972624,0.00018998361685832667
