start,end,mid,phase_rms_rad,n_samples,elongation_deg
2012-09-26 10:15:30,2012-09-26 10:35:30,2012-09-26 10:25:30,0.5953864329542352,120,41.6514453125
2012-09-26 10:25:30,2012-09-26 10:45:30,2012-09-26 10:35:30,0.7101758800191631,120,41.65030295138889
2012-09-26 10:35:30,2012-09-26 10:55:30,2012-09-26 10:45:30,0.6453902865799254,87,41.64916059027778
2012-09-26 11:05:30,2012-09-26 11:25:30,2012-09-26 11:15:30,0.18979347681191358,68,41.645733506944445
2012-09-26 11:15:30,2012-09-26 11:35:30,2012-09-26 11:25:30,0.45980269612317765,120,41.64459114583333
2012-09-26 11:25:30,2012-09-26 11:45:30,2012-09-26 11:35:30,0.2261754067487831,120,41.643448784722224
2012-09-26 11:35:30,2012-09-26 11:55:30,2012-09-26 11:45:30,0.42719010776636834,120,41.64230642361111
2012-09-26 11:45:30,2012-09-26 12:05:30,2012-09-26 11:55:30,0.2528253706075646,120,41.6411640625
2012-09-26 11:55:30,2012-09-26 12:15:30,2012-09-26 12:05:30,0.24224482405958786,120,41.64002170138889
2012-09-26 12:05:30,2012-09-26 12:25:30,2012-09-26 12:15:30,0.4209015487065551,120,41.638879340277775
2012-09-26 12:15:30,2012-09-26 12:35:30,2012-09-26 12:25:30,0.4187506419507866,120,41.63773697916667
2012-09-26 12:25:30,2012-09-26 12:45:30,2012-09-26 12:35:30,0.19079609523318802,120,41.636594618055554
2012-09-26 12:35:30,2012-09-26 12:55:30,2012-09-26 12:45:30,0.3590309078551693,120,41.63545225694445
2012-09-26 12:45:30,2012-09-26 13:05:30,2012-09-26 12:55:30,0.28570303427024935,120,41.63430989583333
2012-09-26 12:55:30,2012-09-26 13:15:30,2012-09-26 13:05:30,0.36297284614657904,120,41.633167534722226
2012-09-26 13:05:30,2012-09-26 13:25:30,2012-09-26 13:15:30,0.15503580258272887,120,41.63202517361111
2012-09-26 13:15:30,2012-09-26 13:35:30,2012-09-26 13:25:30,0.15837595121855172,75,41.6308828125
2012-09-27 04:05:30,2012-09-27 04:25:30,2012-09-27 04:15:30,0.29666108946692415,59,41.52882232638889
2012-09-27 04:15:30,2012-09-27 04:35:30,2012-09-27 04:25:30,0.45597644638299106,119,41.5276646875
2012-09-27 04:25:30,2012-09-27 04:45:30,2012-09-27 04:35:30,0.3653830334336772,120,41.52650704861111
2012-09-27 04:35:30,2012-09-27 04:55:30,2012-09-27 04:45:30,0.49655765366634474,120,41.525349409722224
2012-09-27 04:45:30,2012-09-27 05:05:30,2012-09-27 04:55:30,0.31329682647666673,120,41.52419177083333
2012-09-27 04:55:30,2012-09-27 05:15:30,2012-09-27 05:05:30,0.49427538831617235,120,41.52303413194444
2012-09-27 05:05:30,2012-09-27 05:25:30,2012-09-27 05:15:30,0.2556123121451181,120,41.52187649305556
2012-09-27 05:15:30,2012-09-27 05:35:30,2012-09-27 05:25:30,0.4711124174741894,120,41.52071885416667
2012-09-27 05:25:30,2012-09-27 05:45:30,2012-09-27 05:35:30,0.3306057810292698,120,41.519561215277776
2012-09-27 05:35:30,2012-09-27 05:55:30,2012-09-27 05:45:30,0.7432907888712204,120,41.51840357638889
2012-09-27 05:45:30,2012-09-27 06:05:30,2012-09-27 05:55:30,0.6794856005811524,120,41.5172459375
2012-09-27 05:55:30,2012-09-27 06:15:30,2012-09-27 06:05:30,0.3447109757533423,120,41.51608829861111
2012-09-27 06:05:30,2012-09-27 06:25:30,2012-09-27 06:15:30,0.16093072605325806,120,41.514930659722225
2012-09-27 06:15:30,2012-09-27 06:35:30,2012-09-27 06:25:30,0.3488602131728139,120,41.513773020833334
2012-09-27 06:25:30,2012-09-27 06:45:30,2012-09-27 06:35:30,0.27741921858193,120,41.51261538194444
2012-09-27 06:35:30,2012-09-27 06:55:30,2012-09-27 06:45:30,0.2798824684003038,120,41.51145774305555
2012-09-27 06:45:30,2012-09-27 07:05:30,2012-09-27 06:55:30,0.2932096301849814,120,41.51030010416667
2012-09-27 06:55:30,2012-09-27 07:15:30,2012-09-27 07:05:30,0.3486293998548843,120,41.509142465277776
2012-09-27 07:05:30,2012-09-27 07:25:30,2012-09-27 07:15:30,0.3565172817720349,120,41.507984826388885
2012-09-27 07:15:30,2012-09-27 07:35:30,2012-09-27 07:25:30,0.2734436790257377,120,41.5068271875
2012-09-27 07:25:30,2012-09-27 07:45:30,2012-09-27 07:35:30,0.2901420152834111,120,41.50566954861111
2012-09-27 07:35:30,2012-09-27 07:55:30,2012-09-27 07:45:30,0.2624657350215822,120,41.50451190972222
2012-09-27 07:45:30,2012-09-27 08:05:30,2012-09-27 07:55:30,0.34450255034316496,120,41.503354270833334
2012-09-27 07:55:30,2012-09-27 08:15:30,2012-09-27 08:05:30,0.763787391551913,120,41.50219663194444
2012-09-27 08:05:30,2012-09-27 08:25:30,2012-09-27 08:15:30,0.26255663985117045,120,41.50103899305555
2012-09-27 08:15:30,2012-09-27 08:35:30,2012-09-27 08:25:30,0.30151452588853733,120,41.49988135416667
2012-09-27 08:25:30,2012-09-27 08:45:30,2012-09-27 08:35:30,0.18003799621193692,120,41.49872371527778
2012-09-27 08:35:30,2012-09-27 08:55:30,2012-09-27 08:45:30,0.2334468059260442,120,41.497566076388885
2012-09-27 08:45:30,2012-09-27 09:05:30,2012-09-27 08:55:30,0.18247028155883555,120,41.4964084375
2012-09-27 08:55:30,2012-09-27 09:15:30,2012-09-27 09:05:30,0.21652805574290276,120,41.49525079861111
2012-09-27 09:05:30,2012-09-27 09:25:30,2012-09-27 09:15:30,0.31179924307683476,120,41.49409315972222
2012-09-27 09:15:30,2012-09-27 09:35:30,2012-09-27 09:25:30,0.3441751098789397,120,41.492935520833335
2012-09-27 09:25:30,2012-09-27 09:45:30,2012-09-27 09:35:30,0.27149781615576746,120,41.491777881944444
