start,end,mid,phase_rms_rad,n_samples
2011-01-05 09:14:10,2011-01-05 09:34:10,2011-01-05 09:24:10,0.347314308620081,120
2011-01-05 09:24:10,2011-01-05 09:44:10,2011-01-05 09:34:10,0.26317069045470015,120
2011-01-05 09:34:10,2011-01-05 09:54:10,2011-01-05 09:44:10,0.500095255054566,120
2011-01-05 09:44:10,2011-01-05 10:04:10,2011-01-05 09:54:10,0.3845235791508373,120
2011-01-05 09:54:10,2011-01-05 10:14:10,2011-01-05 10:04:10,0.29001050163799397,120
2011-01-05 10:04:10,2011-01-05 10:24:10,2011-01-05 10:14:10,0.41189738124584335,120
2011-01-05 10:14:10,2011-01-05 10:34:10,2011-01-05 10:24:10,0.4178873108735309,120
2011-01-05 10:24:10,2011-01-05 10:44:10,2011-01-05 10:34:10,0.24820954902151163,120
2011-01-05 10:34:10,2011-01-05 10:54:10,2011-01-05 10:44:10,0.36012597007293795,120
2011-01-05 10:44:10,2011-01-05 11:04:10,2011-01-05 10:54:10,0.6693725174037014,120
2011-01-05 10:54:10,2011-01-05 11:14:10,2011-01-05 11:04:10,0.38071092073418067,120
2011-01-05 11:04:10,2011-01-05 11:24:10,2011-01-05 11:14:10,0.517322507533756,120
2011-01-05 11:14:10,2011-01-05 11:34:10,2011-01-05 11:24:10,0.5701827365574822,120
2011-01-05 11:24:10,2011-01-05 11:44:10,2011-01-05 11:34:10,0.4636668724805646,120
2011-01-05 11:34:10,2011-01-05 11:54:10,2011-01-05 11:44:10,0.44151545065681935,120
2011-01-05 11:44:10,2011-01-05 12:04:10,2011-01-05 11:54:10,0.6209325309482616,120
2011-01-05 11:54:10,2011-01-05 12:14:10,2011-01-05 12:04:10,0.5878672233641373,120
2011-01-05 12:04:10,2011-01-05 12:24:10,2011-01-05 12:14:10,0.45175585353773956,120
2011-01-05 12:14:10,2011-01-05 12:34:10,2011-01-05 12:24:10,0.63390313711522,111
2011-01-05 12:24:10,2011-01-05 12:44:10,2011-01-05 12:34:10,0.46910194529335725,51
2011-01-06 05:34:10,2011-01-06 05:54:10,2011-01-06 05:44:10,0.982565565984944,83
2011-01-06 05:44:10,2011-01-06 06:04:10,2011-01-06 05:54:10,0.7868706055266022,120
2011-01-06 05:54:10,2011-01-06 06:14:10,2011-01-06 06:04:10,0.9029209737221698,120
2011-01-06 06:04:10,2011-01-06 06:24:10,2011-01-06 06:14:10,0.7321134766896318,120
2011-01-06 06:14:10,2011-01-06 06:34:10,2011-01-06 06:24:10,0.6033684729554133,120
2011-01-06 06:24:10,2011-01-06 06:44:10,2011-01-06 06:34:10,0.7111076236953328,120
2011-01-06 06:34:10,2011-01-06 06:54:10,2011-01-06 06:44:10,0.8894513167626255,120
2011-01-06 06:44:10,2011-01-06 07:04:10,2011-01-06 06:54:10,0.7822494598797846,120
2011-01-06 06:54:10,2011-01-06 07:14:10,2011-01-06 07:04:10,0.6851469943416975,120
2011-01-06 07:04:10,2011-01-06 07:24:10,2011-01-06 07:14:10,1.143520887349921,120
2011-01-06 07:14:10,2011-01-06 07:34:10,2011-01-06 07:24:10,0.7677141004460055,120
2011-01-06 07:24:10,2011-01-06 07:44:10,2011-01-06 07:34:10,0.7227568219445595,120
2011-01-06 07:34:10,2011-01-06 07:54:10,2011-01-06 07:44:10,0.5334632437039704,120
2011-01-06 07:44:10,2011-01-06 08:04:10,2011-01-06 07:54:10,0.5540820437355357,120
2011-01-06 07:54:10,2011-01-06 08:14:10,2011-01-06 08:04:10,0.5352879565387142,120
2011-01-06 08:04:10,2011-01-06 08:24:10,2011-01-06 08:14:10,0.685286561662747,120
2011-01-06 08:14:10,2011-01-06 08:34:10,2011-01-06 08:24:10,0.6487226165563089,120
2011-01-06 08:24:10,2011-01-06 08:44:10,2011-01-06 08:34:10,0.3826918189060552,120
2011-01-06 08:34:10,2011-01-06 08:54:10,2011-01-06 08:44:10,0.3363636780695154,120
2011-01-06 08:44:10,2011-01-06 09:04:10,2011-01-06 08:54:10,0.4554899814075544,120
2011-01-06 08:54:10,2011-01-06 09:14:10,2011-01-06 09:04:10,0.4488570598751508,120
2011-01-06 09:04:10,2011-01-06 09:24:10,2011-01-06 09:14:10,0.4787316611341476,120
2011-01-06 09:14:10,2011-01-06 09:34:10,2011-01-06 09:24:10,0.5728370580150497,120
2011-01-06 09:24:10,2011-01-06 09:44:10,2011-01-06 09:34:10,1.0602253944128477,120
2011-01-06 09:34:10,2011-01-06 09:54:10,2011-01-06 09:44:10,1.1930786388347063,120
2011-01-06 09:44:10,2011-01-06 10:04:10,2011-01-06 09:54:10,0.7535046588046377,120
2011-01-06 09:54:10,2011-01-06 10:14:10,2011-01-06 10:04:10,0.9201243842165827,120
2011-01-06 10:04:10,2011-01-06 10:24:10,2011-01-06 10:14:10,0.9303249219897881,120
2011-01-06 10:14:10,2011-01-06 10:34:10,2011-01-06 10:24:10,0.8414285516511617,120
2011-01-06 10:24:10,2011-01-06 10:44:10,2011-01-06 10:34:10,0.9383876724665664,120
2011-01-06 10:34:10,2011-01-06 10:54:10,2011-01-06 10:44:10,0.6004456733049547,120
2011-01-06 10:44:10,2011-01-06 11:04:10,2011-01-06 10:54:10,0.7090588598685216,120
2011-01-06 10:54:10,2011-01-06 11:14:10,2011-01-06 11:04:10,0.36928011873028316,120
2011-01-06 11:04:10,2011-01-06 11:24:10,2011-01-06 11:14:10,0.3724387566236772,120
2011-01-06 11:14:10,2011-01-06 11:34:10,2011-01-06 11:24:10,0.6269505131070612,120
2011-01-06 11:24:10,2011-01-06 11:44:10,2011-01-06 11:34:10,0.5171958722667153,120
