start,end,mid,phase_rms_rad,n_samples,baseline_phase_rms_rad,phase_ratio,is_disturbed
2010-01-22 15:27:20,2010-01-22 15:47:20,2010-01-22 15:37:20,32.95916809783835,72,17.269547335395245,1.9085137240561043,False
2010-01-23 09:37:20,2010-01-23 09:57:20,2010-01-23 09:47:20,16.12890108963581,74,17.269547335395245,0.9339504259372454,False
2010-01-23 09:47:20,2010-01-23 10:07:20,2010-01-23 09:57:20,13.484353414729,120,17.269547335395245,0.7808168420889525,False
2010-01-23 09:57:20,2010-01-23 10:17:20,2010-01-23 10:07:20,15.115497095970728,120,17.269547335395245,0.8752688650379603,False
2010-01-23 10:07:20,2010-01-23 10:27:20,2010-01-23 10:17:20,21.03771423202016,120,17.232187852914343,1.2208382598650827,False
2010-01-23 10:17:20,2010-01-23 10:37:20,2010-01-23 10:27:20,43.51720191845086,120,17.21767645164332,2.5274723938895605,True
2010-01-23 10:27:20,2010-01-23 10:47:20,2010-01-23 10:37:20,21.183771376109405,120,17.232187852914343,1.2293140927271613,False
2010-01-23 10:37:20,2010-01-23 10:57:20,2010-01-23 10:47:20,25.682027795542894,120,17.21767645164332,1.4916082241220012,False
2010-01-23 10:47:20,2010-01-23 11:07:20,2010-01-23 10:57:20,12.75291794720502,120,17.179100964136488,0.7423507186917595,False
2010-01-23 10:57:20,2010-01-23 11:17:20,2010-01-23 11:07:20,13.749928948716867,120,17.21767645164332,0.798593758416486,False
2010-01-23 11:07:20,2010-01-23 11:27:20,2010-01-23 11:17:20,17.840631666744684,120,17.02113461571566,1.0481458533482475,False
2010-01-23 11:17:20,2010-01-23 11:37:20,2010-01-23 11:27:20,10.160264051640906,120,16.79468329709651,0.6049690769338549,False
2010-01-23 11:27:20,2010-01-23 11:47:20,2010-01-23 11:37:20,10.97865183061956,120,16.742874484649498,0.6557208465419248,False
2010-01-23 11:37:20,2010-01-23 11:57:20,2010-01-23 11:47:20,11.38274298110544,120,16.742874484649498,0.6798559585178502,False
2010-01-23 11:47:20,2010-01-23 12:07:20,2010-01-23 11:57:20,24.70290663792738,120,16.742874484649498,1.475428049142693,False
2010-01-23 11:57:20,2010-01-23 12:17:20,2010-01-23 12:07:20,13.396053699516168,120,16.700592718826606,0.8021304348326975,False
2010-01-23 12:07:20,2010-01-23 12:27:20,2010-01-23 12:17:20,14.571221223618409,120,16.567160620326586,0.8795243528779869,False
2010-01-23 12:17:20,2010-01-23 12:37:20,2010-01-23 12:27:20,23.59398208167006,120,16.567160620326586,1.424141566704081,False
2010-01-23 12:27:20,2010-01-23 12:47:20,2010-01-23 12:37:20,7.991696394954421,120,16.447494902938484,0.4858914042603921,False
2010-01-23 12:37:20,2010-01-23 12:57:20,2010-01-23 12:47:20,8.824270867306566,120,16.38955676431837,0.5384081457601004,False
2010-01-23 12:47:20,2010-01-23 13:07:20,2010-01-23 12:57:20,15.959763122764658,120,16.38955676431837,0.9737763718852107,False
2010-01-23 12:57:20,2010-01-23 13:17:20,2010-01-23 13:07:20,9.665624920909057,120,16.255150672059195,0.594619214297607,False
2010-01-23 13:07:20,2010-01-23 13:27:20,2010-01-23 13:17:20,13.857790086119437,120,16.10663830417008,0.8603775551681442,False
2010-01-23 13:17:20,2010-01-23 13:37:20,2010-01-23 13:27:20,11.254951488244195,120,16.061814494542702,0.7007272741238715,False
2010-01-23 13:27:20,2010-01-23 13:47:20,2010-01-23 13:37:20,21.54610573738996,120,15.99950829657286,1.3466729938197664,False
2010-01-23 13:37:20,2010-01-23 13:57:20,2010-01-23 13:47:20,15.193822705979592,120,15.95898730389212,0.9520543137642625,False
2010-01-23 13:47:20,2010-01-23 14:07:20,2010-01-23 13:57:20,17.217043365961146,120,15.870151834658166,1.0848694798471656,False
2010-01-23 13:57:20,2010-01-23 14:17:20,2010-01-23 14:07:20,12.075966814895285,120,15.870151834658166,0.760923206073119,False
2010-01-23 14:07:20,2010-01-23 14:27:20,2010-01-23 14:17:20,18.476738034168516,120,15.755952841056152,1.172682999280289,False
2010-01-23 14:17:20,2010-01-23 14:37:20,2010-01-23 14:27:20,19.634672672559223,118,15.709242639212876,1.2498802853517472,False
2010-01-23 14:27:20,2010-01-23 14:47:20,2010-01-23 14:37:20,24.916300459229102,118,15.641131159443297,1.5929986268407412,False
2010-01-23 14:37:20,2010-01-23 14:57:20,2010-01-23 14:47:20,24.943206351905637,118,15.559066019703458,1.60313005422809,False
2010-01-23 14:47:20,2010-01-23 15:07:20,2010-01-23 14:57:20,17.293028502287306,118,15.498713336178412,1.1157718790707905,False
2010-01-23 14:57:20,2010-01-23 15:17:20,2010-01-23 15:07:20,21.996474889290493,120,15.333353938602949,1.4345507823903159,False
2010-01-23 15:07:20,2010-01-23 15:27:20,2010-01-23 15:17:20,21.007226521343924,120,15.15465990097516,1.3861892420292565,False
2010-01-23 15:17:20,2010-01-23 15:37:20,2010-01-23 15:27:20,26.675606572528714,120,14.983377848920167,1.7803466509022992,False
2010-01-23 15:27:20,2010-01-23 15:47:20,2010-01-23 15:37:20,13.91155084056627,91,14.983377848920167,0.9284655957313962,False
2010-01-24 09:37:20,2010-01-24 09:57:20,2010-01-24 09:47:20,7.132147317352734,76,14.818427185516093,0.48130258549462496,False
2010-01-24 09:47:20,2010-01-24 10:07:20,2010-01-24 09:57:20,10.037963326977476,120,14.76626670031665,0.6797901954975674,False
2010-01-24 09:57:20,2010-01-24 10:17:20,2010-01-24 10:07:20,14.142517587578183,120,14.76626670031665,0.9577585096221314,False
2010-01-24 10:07:20,2010-01-24 10:27:20,2010-01-24 10:17:20,15.729813497815556,120,14.70898415080158,1.0694017572218504,False
2010-01-24 10:17:20,2010-01-24 10:37:20,2010-01-24 10:27:20,11.757017540214482,120,14.621125946875427,0.8041116383876706,False
2010-01-24 10:27:20,2010-01-24 10:47:20,2010-01-24 10:37:20,17.218309537325496,120,14.565056299139258,1.1821656699221297,False
2010-01-24 10:37:20,2010-01-24 10:57:20,2010-01-24 10:47:20,13.934966724501276,120,14.410248148247607,0.9670178182320803,False
2010-01-24 10:47:20,2010-01-24 11:07:20,2010-01-24 10:57:20,12.445392802970735,119,14.254914913739935,0.8730597747009314,False
2010-01-24 10:57:20,2010-01-24 11:17:20,2010-01-24 11:07:20,15.52454150113052,119,14.195371246611472,1.0936340608095283,False
2010-01-24 11:07:20,2010-01-24 11:27:20,2010-01-24 11:17:20,14.785595769162583,120,14.195371246611472,1.0415786605575392,False
2010-01-24 11:17:20,2010-01-24 11:37:20,2010-01-24 11:27:20,16.03925347038106,120,14.067259758037508,1.140183215939894,False
