event_id,start,end,mid,n_windows,duration_hr,median_phase_rms_rad,peak_phase_rms_rad,median_baseline_phase_rms_rad,median_phase_ratio,peak_phase_ratio
230,2010-05-24 08:47:20,2010-05-24 09:57:20,2010-05-24 09:22:20,4,1.1666666666666667,1.423414786847158,1.8457635851382936,0.5560500402520963,2.5598681482008794,3.319419929007613
231,2010-05-25 08:37:20,2010-05-25 09:57:20,2010-05-25 09:17:20,7,1.3333333333333333,1.1807239935769858,1.5982016571466084,0.5265188442707369,2.251219733556153,3.035412074111464
243,2010-05-30 14:17:20,2010-05-30 15:27:20,2010-05-30 14:52:20,6,1.1666666666666667,1.35272382590852,1.4143412378749012,0.5499888832499724,2.4618794407999474,2.571581500915677
245,2010-05-31 11:27:20,2010-05-31 12:27:20,2010-05-31 11:57:20,3,1.0,1.338597700103868,1.544812658616222,0.5330335783530685,2.511282130179824,2.8678748716446627
251,2010-06-03 12:27:20,2010-06-03 13:07:20,2010-06-03 12:47:20,3,0.6666666666666666,1.1432411061439187,1.264628190382593,0.4678324619621791,2.44369768901659,2.7031646865172627
252,2010-06-03 14:27:20,2010-06-03 16:27:20,2010-06-03 15:17:20,9,2.0,1.4263112358260592,2.1527035778367525,0.4712090678137649,3.0269180566571303,4.568468064132334
255,2010-06-05 10:57:20,2010-06-05 12:07:20,2010-06-05 11:32:20,6,1.1666666666666667,3.706322875084753,4.957834491295342,0.7156742122204848,5.167371052984663,6.916458018276815
256,2010-06-05 16:47:20,2010-06-05 17:27:20,2010-06-05 17:07:20,3,0.6666666666666666,1.7433412168922755,3.012090995898113,0.7668498740993045,2.273380065348382,3.9278757128778734
265,2010-06-09 12:27:20,2010-06-09 13:37:20,2010-06-09 12:57:20,5,1.1666666666666667,2.4386962070569806,2.9057220206840086,0.5939427652253704,4.105944797781352,4.892259306469435
277,2010-06-13 10:47:20,2010-06-13 11:37:20,2010-06-13 11:17:20,3,0.8333333333333334,1.055675750897704,1.304986658653687,0.5003064308973388,2.1164819517967266,2.6083747440805247
287,2010-06-15 11:07:20,2010-06-15 12:37:20,2010-06-15 11:57:20,5,1.5,1.3359241849389063,2.423591194153917,0.5049158860175071,2.6455358507341438,4.799989981043859
288,2010-06-15 12:47:20,2010-06-15 13:57:20,2010-06-15 13:22:20,6,1.1666666666666667,1.7876285925260855,2.8491222835233576,0.4965615786503872,3.5947019226861787,5.737701840055837
291,2010-06-19 11:17:20,2010-06-19 15:47:20,2010-06-19 13:22:20,20,4.5,1.8875439733480368,3.7632145794581446,0.5624620444792217,3.376171987559081,6.665630607983152
293,2010-06-20 09:17:20,2010-06-20 13:57:20,2010-06-20 11:42:20,26,4.666666666666667,2.2148486116878434,6.4724090581288864,0.5301905674851408,4.150580499046069,12.231604661609873
300,2010-06-25 09:37:20,2010-06-25 10:27:20,2010-06-25 10:02:20,4,0.8333333333333334,1.4567197256676376,1.868963338415942,0.45630834821491656,3.2051940264361347,4.079552699467912
301,2010-06-25 14:27:20,2010-06-25 15:17:20,2010-06-25 14:52:20,4,0.8333333333333334,0.95533352429753,0.9820161663750404,0.4291840504219985,2.231164118911535,2.2827448969751747
308,2010-06-29 12:37:20,2010-06-29 13:17:20,2010-06-29 12:57:20,3,0.6666666666666666,1.043863007147236,1.0744174543295908,0.40273042501037465,2.5919646054065697,2.6721225242685294
315,2010-07-04 11:07:20,2010-07-04 11:47:20,2010-07-04 11:27:20,3,0.6666666666666666,1.4032940703047845,1.5846455766419678,0.4659982824888038,3.0113717647414298,3.4005395216881316
323,2010-07-08 09:47:20,2010-07-08 11:17:20,2010-07-08 10:27:20,7,1.5,1.522249062112614,2.724336175705813,0.5931185745730921,2.5665172654696917,4.593240361198776
324,2010-07-08 11:57:20,2010-07-08 12:37:20,2010-07-08 12:17:20,3,0.6666666666666666,1.330951632399407,1.3758257699324092,0.5983046971990126,2.224538163631859,2.2995403117732365
325,2010-07-09 10:07:20,2010-07-09 11:07:20,2010-07-09 10:37:20,3,1.0,1.3087300393281178,1.5537325379224995,0.5940094130622693,2.2032143103276467,2.615669893028486
326,2010-07-11 11:37:20,2010-07-11 13:07:20,2010-07-11 12:17:20,7,1.5,1.4106210707321574,2.003204050492145,0.5145191999847073,2.732422712136211,3.893351405645668
327,2010-07-11 13:17:20,2010-07-11 13:57:20,2010-07-11 13:37:20,3,0.6666666666666666,1.5443886050880948,1.7078249951448328,0.5177214558412366,2.9915351389985956,3.2987332780516456
328,2010-07-12 09:57:20,2010-07-12 10:47:20,2010-07-12 10:22:20,4,0.8333333333333334,1.452691277647167,1.7934077427827924,0.4972986536631848,2.9191911341544996,3.6072633511701406
329,2010-07-13 10:07:20,2010-07-13 11:27:20,2010-07-13 10:47:20,5,1.3333333333333333,1.1559319967561237,1.2761450120765514,0.4848479043494299,2.3919141758141014,2.5863316125528013
330,2010-07-13 12:27:20,2010-07-13 14:17:20,2010-07-13 13:22:20,8,1.8333333333333333,1.243278169767036,1.6051200842976374,0.47122604941663215,2.6482622087700776,3.406263482854443
338,2010-07-17 10:07:20,2010-07-17 10:57:20,2010-07-17 10:32:20,4,0.8333333333333334,1.316898595668571,2.2267710129135314,0.4864323580467963,2.703537738346117,4.573679185325599
339,2010-07-17 11:07:20,2010-07-17 11:47:20,2010-07-17 11:27:20,3,0.6666666666666666,1.4829172687363936,1.5655531458922678,0.47907525775559157,3.079106134574902,3.2853125813797686
343,2010-07-18 10:07:20,2010-07-18 11:07:20,2010-07-18 10:32:20,4,1.0,1.1122068930954372,1.8629314391541365,0.4653189616852914,2.390098187429417,4.009614476096181
345,2010-07-18 12:07:20,2010-07-18 14:17:20,2010-07-18 13:12:20,12,2.1666666666666665,1.8207715645982494,2.8828362374703524,0.4867376543150784,3.7405667447728614,5.9505558294127185
350,2010-07-20 14:17:20,2010-07-20 15:17:20,2010-07-20 14:47:20,5,1.0,1.7147005642619262,2.192676452557267,0.5259250982664285,3.235646987865511,4.169180097669495
353,2010-07-24 10:57:20,2010-07-24 11:47:20,2010-07-24 11:22:20,4,0.8333333333333334,1.4159076223832052,1.6070249820289075,0.5343572536965728,2.6591168554954976,2.9968299989250897
354,2010-07-30 06:47:20,2010-07-30 08:17:20,2010-07-30 07:32:20,8,1.5,7.438397300702908,38.66505652680871,0.4509875732572728,16.452355147719526,85.94953281936829
359,2010-07-31 12:27:20,2010-07-31 13:37:20,2010-07-31 13:02:20,6,1.1666666666666667,0.9776953874301604,2.1316813772751946,0.41383435306189953,2.3574020507106175,5.12658338755691
362,2010-08-02 10:57:20,2010-08-02 12:37:20,2010-08-02 11:52:20,8,1.6666666666666667,1.2460578257193218,1.494292878304352,0.42526628664340826,2.9315142919009958,3.5137816592485676
363,2010-08-04 10:47:20,2010-08-04 11:27:20,2010-08-04 11:07:20,3,0.6666666666666666,1.2858856976741326,2.1595657190923063,0.4298354024727866,2.9915769856940613,5.024169034631881
368,2010-08-09 14:37:20,2010-08-11 12:37:20,2010-08-11 11:12:20,12,46.0,1.0164599117017366,1.6186803382278896,0.43659444818231885,2.3220480040686438,3.6977881816456155
373,2010-08-15 13:47:20,2010-08-15 14:27:20,2010-08-15 14:07:20,3,0.6666666666666666,1.0632120296097205,1.1795058550653506,0.4126332112160228,2.575172153378059,2.858485024967737
377,2010-08-18 13:07:20,2010-08-18 14:07:20,2010-08-18 13:37:20,4,1.0,1.211309394736607,1.2913832387351447,0.4539508985561915,2.6434326762139406,2.820263913899729
382,2010-08-22 11:07:20,2010-08-22 13:07:20,2010-08-22 12:12:20,10,2.0,1.5199326453544655,1.766534379820172,0.4952483220170552,3.0673621034823713,3.5280037940982796
383,2010-08-22 13:37:20,2010-08-22 14:17:20,2010-08-22 13:57:20,3,0.6666666666666666,1.0068089667379356,1.1406862185842428,0.4871204286034503,2.066858435037114,2.3416924267670987
386,2010-09-01 11:07:20,2010-09-01 12:47:20,2010-09-01 11:52:20,8,1.6666666666666667,1.1192809146906773,2.2400642453729493,0.48199496465248803,2.2959619291796356,4.604593306873713
387,2010-09-02 11:07:20,2010-09-02 12:17:20,2010-09-02 11:42:20,6,1.1666666666666667,1.1717282687604307,1.6913502776462954,0.5169406689337263,2.2611644628456413,3.24482505799816
395,2010-09-07 11:17:20,2010-09-07 12:27:20,2010-09-07 11:47:20,5,1.1666666666666667,0.9430772346215122,1.0196918841525011,0.457466386779777,2.054760979702039,2.234026455787501
397,2010-09-07 14:07:20,2010-09-07 15:07:20,2010-09-07 14:37:20,4,1.0,1.2964251876345259,1.4975165828186063,0.4471233788758635,2.899479760807715,3.335711264474898
418,2010-09-20 11:17:20,2010-09-20 11:57:20,2010-09-20 11:37:20,3,0.6666666666666666,1.6143440093689545,2.1470933462953616,0.5725928459792748,2.8193576303036556,3.7797989820163953
422,2010-09-22 11:47:20,2010-09-22 12:37:20,2010-09-22 12:07:20,3,0.8333333333333334,1.582808834739813,1.6789726729529637,0.6378631996983926,2.4814236586908116,2.6321830037331666
423,2010-09-22 13:57:20,2010-09-22 14:47:20,2010-09-22 14:17:20,3,0.8333333333333334,1.315666569565508,1.5640952584927856,0.6378631996983926,2.062615573664711,2.4520857438277566
425,2010-09-23 16:57:20,2010-09-23 17:37:20,2010-09-23 17:17:20,3,0.6666666666666666,1.4737229431868717,1.6697564185284464,0.585249910035411,2.518108790649285,2.8530656560501075
433,2010-10-02 11:07:20,2010-10-02 12:47:20,2010-10-02 11:57:20,7,1.6666666666666667,1.3648633761585178,1.9213624634171909,0.4810406239332402,2.837314164859258,3.9941792186013823
435,2010-10-03 10:57:20,2010-10-03 11:47:20,2010-10-03 11:22:20,4,0.8333333333333334,2.026611373589533,2.3593723354562472,0.4609829198471421,4.396282999512302,5.118133956543541
439,2010-10-03 15:37:20,2010-10-03 16:47:20,2010-10-03 16:17:20,5,1.1666666666666667,1.4544798080957613,1.761371768772933,0.46327876347369207,3.139534817417453,3.8019695864452356
441,2010-10-08 10:47:20,2010-10-08 11:27:20,2010-10-08 11:07:20,3,0.6666666666666666,1.702403430256478,1.9031772664125,0.558377561394459,3.048839258520698,3.408405706095384
442,2010-10-08 11:37:20,2010-10-08 13:27:20,2010-10-08 12:37:20,9,1.8333333333333333,1.4680946951661844,3.19991013024444,0.5549489643853084,2.665831638770404,5.730728366399921
444,2010-10-08 15:57:20,2010-10-09 11:47:20,2010-10-09 10:52:20,8,19.833333333333332,1.3461929978674239,1.6732499529060914,0.5507079568773265,2.4811280029556118,3.1655176459345915
445,2010-10-09 12:07:20,2010-10-09 13:37:20,2010-10-09 12:57:20,7,1.5,1.3489754573068624,2.8032879181234853,0.5285865188763081,2.552042871192728,5.303366275936879
450,2010-10-14 06:47:20,2010-10-14 07:47:20,2010-10-14 07:17:20,5,1.0,2.6944314522183745,4.602064937906671,0.35091213362311613,7.843417573732618,12.92584655609917
453,2010-10-15 06:17:20,2010-10-15 07:37:20,2010-10-15 06:57:20,7,1.3333333333333333,2.302073907615198,12.649201995438954,0.347358156613009,6.62737829467449,36.41544542606323
456,2010-10-16 06:07:20,2010-10-16 07:27:20,2010-10-16 06:52:20,6,1.3333333333333333,2.2461385038675736,5.26505825026925,0.36253726004049514,6.195607324931737,14.522805875680604
459,2010-10-20 04:17:20,2010-10-20 05:07:20,2010-10-20 04:42:20,4,0.8333333333333334,2.417769090212631,6.394605669127953,0.40339094545573706,5.983781172202805,16.004468560576747
461,2010-10-20 05:57:20,2010-10-20 07:07:20,2010-10-20 06:32:20,6,1.1666666666666667,2.6814582906001787,6.348270322054014,0.4031105458176081,6.651917987314167,15.588882387418076
463,2010-10-21 05:27:20,2010-10-21 06:47:20,2010-10-21 06:07:20,7,1.3333333333333333,2.619811776494573,11.664407180528434,0.39758188677063266,6.487807317189254,29.027777267974532
465,2010-10-22 05:17:20,2010-10-22 07:17:20,2010-10-22 06:12:20,10,2.0,1.844280069376203,5.94654398370178,0.38917614508873094,4.754510408304077,15.279826522630225
467,2010-10-23 05:27:20,2010-10-23 07:27:20,2010-10-23 06:27:20,9,2.0,1.3165258658381591,6.501160920822818,0.4239009933265595,3.105739044173342,15.358462323823918
468,2010-10-24 05:17:20,2010-10-24 06:37:20,2010-10-24 05:57:20,5,1.3333333333333333,1.5274734888085189,8.117438948419553,0.47233243065877023,3.2338950062737064,17.18585983413847
475,2010-10-25 05:17:20,2010-10-25 06:47:20,2010-10-25 06:02:20,8,1.5,1.64591556084213,8.945020606814541,0.41799405497787856,3.995976228113848,21.131881466826083
476,2010-10-25 09:27:20,2010-10-25 11:27:20,2010-10-25 10:12:20,8,2.0,0.9184116775854521,1.4773563761648951,0.39009405418239074,2.3543339554620415,3.787179938595395
481,2010-10-29 14:47:20,2010-10-30 09:27:20,2010-10-30 08:42:20,6,18.666666666666668,1.0532353643161216,1.4800688026489153,0.41031253822976693,2.5669100165940595,3.607174201974072
483,2010-10-30 13:57:20,2010-10-31 08:47:20,2010-10-30 14:42:20,6,18.833333333333332,1.1261303628134631,1.4580941175147737,0.4573941637936322,2.462056694106732,3.187828426627321
495,2010-11-07 14:17:20,2010-11-08 07:57:20,2010-11-08 07:32:20,4,17.666666666666668,1.202361719643632,1.4816646356631964,0.4707844833021473,2.5486057910356266,3.153398332629519
497,2010-11-08 09:47:20,2010-11-08 10:27:20,2010-11-08 10:07:20,3,0.6666666666666666,1.0367325422319629,1.303475689311512,0.4739197239286711,2.1978355623410506,2.7504145185307713
498,2010-11-08 12:47:20,2010-11-08 14:37:20,2010-11-08 13:47:20,9,1.8333333333333333,1.4091655018561264,1.7415190815625878,0.4739197239286711,2.9734265756540186,3.640714517633383
502,2010-11-09 13:37:20,2010-11-09 14:37:20,2010-11-09 14:07:20,5,1.0,1.1845035256613434,1.380931840869442,0.4612594203326216,2.5679768768888858,2.993829025483382
504,2010-11-14 10:37:20,2010-11-14 11:37:20,2010-11-14 11:07:20,3,1.0,0.6471276521749473,0.7074412298763002,0.29834147620818324,2.1690837640133562,2.363163459635634
506,2010-11-14 12:27:20,2010-11-14 14:17:20,2010-11-14 13:22:20,10,1.8333333333333333,1.0483450726336683,1.396489289003532,0.3093086836248345,3.389068467406238,4.472113715045514
